"Plot Title: 20947172"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20947172, SEN S/N: 20947172)","Coupler Attached (LGR S/N: 20947172)","Host Connected (LGR S/N: 20947172)","Stopped (LGR S/N: 20947172)","End Of File (LGR S/N: 20947172)"
1,10/13/25 09:00:00 AM,26.390,,,,
2,10/13/25 09:30:00 AM,26.488,,,,
3,10/13/25 10:00:00 AM,26.781,,,,
4,10/13/25 10:30:00 AM,31.983,,,,
5,10/13/25 11:00:00 AM,28.655,,,,
6,10/13/25 11:30:00 AM,28.754,,,,
7,10/13/25 12:00:00 PM,28.655,,,,
8,10/13/25 12:30:00 PM,28.655,,,,
9,10/13/25 01:00:00 PM,28.754,,,,
10,10/13/25 01:30:00 PM,28.456,,,,
11,10/13/25 02:00:00 PM,28.456,,,,
12,10/13/25 02:30:00 PM,28.456,,,,
13,10/13/25 03:00:00 PM,28.456,,,,
14,10/13/25 03:30:00 PM,28.555,,,,
15,10/13/25 04:00:00 PM,28.555,,,,
16,10/13/25 04:30:00 PM,28.555,,,,
17,10/13/25 05:00:00 PM,28.655,,,,
18,10/13/25 05:30:00 PM,28.655,,,,
19,10/13/25 06:00:00 PM,28.655,,,,
20,10/13/25 06:30:00 PM,28.456,,,,
21,10/13/25 07:00:00 PM,28.456,,,,
22,10/13/25 07:30:00 PM,28.456,,,,
23,10/13/25 08:00:00 PM,28.456,,,,
24,10/13/25 08:30:00 PM,28.456,,,,
25,10/13/25 09:00:00 PM,28.357,,,,
26,10/13/25 09:30:00 PM,28.357,,,,
27,10/13/25 10:00:00 PM,28.159,,,,
28,10/13/25 10:30:00 PM,28.060,,,,
29,10/13/25 11:00:00 PM,28.060,,,,
30,10/13/25 11:30:00 PM,28.060,,,,
31,10/14/25 12:00:00 AM,27.961,,,,
32,10/14/25 12:30:00 AM,28.060,,,,
33,10/14/25 01:00:00 AM,27.961,,,,
34,10/14/25 01:30:00 AM,27.961,,,,
35,10/14/25 02:00:00 AM,27.961,,,,
36,10/14/25 02:30:00 AM,27.961,,,,
37,10/14/25 03:00:00 AM,27.862,,,,
38,10/14/25 03:30:00 AM,27.961,,,,
39,10/14/25 04:00:00 AM,27.862,,,,
40,10/14/25 04:30:00 AM,27.764,,,,
41,10/14/25 05:00:00 AM,27.764,,,,
42,10/14/25 05:30:00 AM,27.862,,,,
43,10/14/25 06:00:00 AM,27.764,,,,
