"","Colony_ID","Run.x","Interval","Light_Value","N_points","O2_start","O2_end","DeltaT_min","DeltaT_max","O2_min","O2_max","Slope","Avg_Blank_Slope","Blank_Corrected_Slope","Date","Project","Species","Phenotype","Run.y","Chamber","Chamber_Volume_mL","Surface_Area_cm2","Notes","Chamber_Volume_L","Slope_norm"
"1","205",1,1,0,300,243.751,236.079,69.601,84.551,236.012,245.408,-0.879655344406204,-0.0570454131718526,-0.822609931234352,2024-01-20,"CAREER - Phys","Montipora capitata","Susceptible",1,1,239.515,14.12422623,"Chamber vol for Jan 2024 from https://docs.google.com/spreadsheets/d/1tjkoaUArNFC3PiGT3smRiLyQ7VJbQL7_AO2v9Z_5uqg/edit?gid=0#gid=0 and cross-referencing round and zub # to Run and light zub # from https://docs.google.com/spreadsheets/d/115YI12L3dGhRy9tNkagiD-8E3X8a-X0MBHTqjxPKh6o/edit?gid=0#gid=0. SA for Jan 2024 from Jan_Phys_T0_mesh_measure",0.239515,-0.836976473491089
"2","205",1,2,196,272,203.608,207.955,0,13.551,203.446,207.965,0.342548545862037,-0.0578216160515818,0.400370161913619,2024-01-20,"CAREER - Phys","Montipora capitata","Susceptible",1,1,239.515,14.12422623,"Chamber vol for Jan 2024 from https://docs.google.com/spreadsheets/d/1tjkoaUArNFC3PiGT3smRiLyQ7VJbQL7_AO2v9Z_5uqg/edit?gid=0#gid=0 and cross-referencing round and zub # to Run and light zub # from https://docs.google.com/spreadsheets/d/115YI12L3dGhRy9tNkagiD-8E3X8a-X0MBHTqjxPKh6o/edit?gid=0#gid=0. SA for Jan 2024 from Jan_Phys_T0_mesh_measure",0.239515,0.407362461217419
"3","205",1,3,418,180,208.296,212.174,14.601,23.551,208.255,212.324,0.505367830594586,-0.0562845813626557,0.561652411957242,2024-01-20,"CAREER - Phys","Montipora capitata","Susceptible",1,1,239.515,14.12422623,"Chamber vol for Jan 2024 from https://docs.google.com/spreadsheets/d/1tjkoaUArNFC3PiGT3smRiLyQ7VJbQL7_AO2v9Z_5uqg/edit?gid=0#gid=0 and cross-referencing round and zub # to Run and light zub # from https://docs.google.com/spreadsheets/d/115YI12L3dGhRy9tNkagiD-8E3X8a-X0MBHTqjxPKh6o/edit?gid=0#gid=0. SA for Jan 2024 from Jan_Phys_T0_mesh_measure",0.239515,0.5714614390594
"4","205",1,4,741,180,212.921,218.23,24.601,33.551,212.747,218.337,0.622009546737164,-0.071828335092288,0.693837881829452,2024-01-20,"CAREER - Phys","Montipora capitata","Susceptible",1,1,239.515,14.12422623,"Chamber vol for Jan 2024 from https://docs.google.com/spreadsheets/d/1tjkoaUArNFC3PiGT3smRiLyQ7VJbQL7_AO2v9Z_5uqg/edit?gid=0#gid=0 and cross-referencing round and zub # to Run and light zub # from https://docs.google.com/spreadsheets/d/115YI12L3dGhRy9tNkagiD-8E3X8a-X0MBHTqjxPKh6o/edit?gid=0#gid=0. SA for Jan 2024 from Jan_Phys_T0_mesh_measure",0.239515,0.705955473497316
"5","205",1,5,1101,180,218.95,225.091,34.601,43.551,218.95,225.091,0.685777076853547,-0.0739009804824482,0.759678057335996,2024-01-20,"CAREER - Phys","Montipora capitata","Susceptible",1,1,239.515,14.12422623,"Chamber vol for Jan 2024 from https://docs.google.com/spreadsheets/d/1tjkoaUArNFC3PiGT3smRiLyQ7VJbQL7_AO2v9Z_5uqg/edit?gid=0#gid=0 and cross-referencing round and zub # to Run and light zub # from https://docs.google.com/spreadsheets/d/115YI12L3dGhRy9tNkagiD-8E3X8a-X0MBHTqjxPKh6o/edit?gid=0#gid=0. SA for Jan 2024 from Jan_Phys_T0_mesh_measure",0.239515,0.772945520440723
"6","205",1,6,1207,180,225.769,232.038,44.601,53.551,225.769,232.087,0.703781488371557,-0.110907614610969,0.814689102982526,2024-01-20,"CAREER - Phys","Montipora capitata","Susceptible",1,1,239.515,14.12422623,"Chamber vol for Jan 2024 from https://docs.google.com/spreadsheets/d/1tjkoaUArNFC3PiGT3smRiLyQ7VJbQL7_AO2v9Z_5uqg/edit?gid=0#gid=0 and cross-referencing round and zub # to Run and light zub # from https://docs.google.com/spreadsheets/d/115YI12L3dGhRy9tNkagiD-8E3X8a-X0MBHTqjxPKh6o/edit?gid=0#gid=0. SA for Jan 2024 from Jan_Phys_T0_mesh_measure",0.239515,0.828917311249523
"7","205",1,7,1568,280,232.81,243.05,54.601,68.551,232.717,243.05,0.733246057588587,-0.0797993086667693,0.813045366255356,2024-01-20,"CAREER - Phys","Montipora capitata","Susceptible",1,1,239.515,14.12422623,"Chamber vol for Jan 2024 from https://docs.google.com/spreadsheets/d/1tjkoaUArNFC3PiGT3smRiLyQ7VJbQL7_AO2v9Z_5uqg/edit?gid=0#gid=0 and cross-referencing round and zub # to Run and light zub # from https://docs.google.com/spreadsheets/d/115YI12L3dGhRy9tNkagiD-8E3X8a-X0MBHTqjxPKh6o/edit?gid=0#gid=0. SA for Jan 2024 from Jan_Phys_T0_mesh_measure",0.239515,0.827244867340184
"8","244",2,1,0,300,311.931,307.466,194.601,209.551,307.444,321.583,-1.45249259722314,-0.0570454131718526,-1.39544718405129,2024-01-20,"CAREER - Phys","Porites compressa","Resistant",2,1,235.71,21.92403319,NA,0.23571,-0.900165182844434
"9","244",2,2,196,280,198.555,205.558,123.601,137.551,198.379,205.62,0.416837857358208,-0.0578216160515818,0.47465947340979,2024-01-20,"CAREER - Phys","Porites compressa","Resistant",2,1,235.71,21.92403319,NA,0.23571,0.306189970178808
"10","244",2,3,418,180,205.938,213.306,138.601,147.551,205.938,213.37,0.967284245197043,-0.0562845813626557,1.0235688265597,2024-01-20,"CAREER - Phys","Porites compressa","Resistant",2,1,235.71,21.92403319,NA,0.23571,0.660276526725291
